日期	销售额
2022-04-15	80
2022-04-16	50
2022-04-17	60
2022-04-18	70
2022-04-19	80
2022-04-20	91
2022-04-21	95
2022-04-22	75
2022-04-23	76
2022-04-24	77
2022-04-25	78
2022-04-26	79
2022-04-27	80
2022-04-28	81
2022-04-29	82
2022-04-30	77
2022-05-01	78
2022-05-02	82
2022-05-03	83
2022-05-04	84
2022-05-05	85
2022-05-06	86
2022-05-07	87
2022-05-08	93
2022-05-09	94
2022-05-10	95
2022-05-11	96
2022-05-12	97
2022-05-13	98
2022-05-14	99
2022-05-15	100
2022-05-16	101
2022-05-17	102
2022-05-18	69
2022-05-19	70
2022-05-20	71
2022-05-21	72
2022-05-22	73
2022-05-23	74
2022-05-24	75
2022-05-25	76
2022-05-26	79
2022-05-27	80
2022-05-28	81
2022-05-29	82
2022-05-30	83
2022-05-31	84
2022-06-01	85
2022-06-02	86
2022-06-03	87
2022-06-04	88
2022-06-05	89
2022-06-06	90
2022-06-07	82
2022-06-08	83
2022-06-09	84
2022-06-10	85
2022-06-11	86
2022-06-12	87
2022-06-13	88
2022-06-14	86
2022-06-15	87
2022-06-16	88
